Model ID,English Name,Chinese Name,System
FJ1324,tarsal plate of left upper eyelid,左上睑板,skeletal
FJ1328,tarsal plate of left lower eyelid,左下睑板,skeletal
FJ1375,tarsal plate of right upper eyelid,右上睑板,skeletal
FJ1379,tarsal plate of right lower eyelid,右下睑板,skeletal
FJ1392,interosseous membrane of right leg,右小腿骨间膜,skeletal
FJ1392M,interosseous membrane of left leg,左小腿骨间膜,skeletal
FJ1424,right long plantar ligament,右足底长韧带,skeletal
FJ1424M,left long plantar ligament,左足底长韧带,skeletal
FJ1476,interosseous membrane of right forearm,右前臂骨间膜,skeletal
FJ1476M,interosseous membrane of left forearm,左前臂骨间膜,skeletal
FJ2763,left stylohyoid ligament,左茎突舌骨韧带,skeletal
FJ2764,right stylohyoid ligament,右茎突舌骨韧带,skeletal
FJ2772,cavitated organ,含腔器官,skeletal
FJ2773,left cuneiform cartilage,左楔状软骨,skeletal
FJ2775,left arytenoid cartilage,左杓状软骨,skeletal
FJ2776,left corniculate cartilage,左小角软骨,skeletal
FJ2777,left conus elasticus,左弹性圆锥,skeletal
FJ2779,left lateral thyrohyoid ligament,左甲状舌骨外侧韧带,skeletal
FJ2786,left thyrohyoid membrane,左甲状舌骨膜,skeletal
FJ2789,median cricothyroid ligament,环甲正中韧带,skeletal
FJ2790,median thyrohyoid ligament,甲状舌骨正中韧带,skeletal
FJ2792,right arytenoid cartilage,右杓状软骨,skeletal
FJ2793,right corniculate cartilage,右小角软骨,skeletal
FJ2794,right conus elasticus,右弹性圆锥,skeletal
FJ2795,right cuneiform cartilage,右楔状软骨,skeletal
FJ2797,right lateral thyrohyoid ligament,右甲状舌骨外侧韧带,skeletal
FJ2804,right thyrohyoid membrane,右甲状舌骨膜,skeletal
FJ3152,right hip bone,右髋骨,skeletal
FJ3153,process of organ,器官突起,skeletal
FJ3154,tenth thoracic vertebra,第10胸椎,skeletal
FJ3155,eleventh thoracic vertebra,第11胸椎,skeletal
FJ3156,twelfth thoracic vertebra,第12胸椎,skeletal
FJ3157,first lumbar vertebra,第1腰椎,skeletal
FJ3158,first thoracic vertebra,第1胸椎,skeletal
FJ3159,second lumbar vertebra,第2腰椎,skeletal
FJ3160,second thoracic vertebra,第2胸椎,skeletal
FJ3161,third cervical vertebra,第3颈椎,skeletal
FJ3162,third lumbar vertebra,第3腰椎,skeletal
